pitch_accel,pitch_filtered,front_motor_pwm,back_motor_pwm,,,,,
-302.351,106.58,1128.29993,1071.70007,,,,,
750.9716,121.0528,1126.64502,1073.35498,,,,,
101.6892,122.1948,1130.26318,1069.73682,,,,,
-192.127,117.4584,1130.54871,1069.45129,,,,,
990.361,136.7132,1129.36462,1070.63538,,,,,
100.2936,137.9032,1134.17834,1065.82166,,,,,
-1588.2926,105.1448,1134.47583,1065.52417,,,,,
-65.5158,103.4412,1126.28625,1073.71375,,,,,
174.9564,106.8188,1125.86035,1074.13965,,,,,
-409.1986,98.4238,1126.70471,1073.29529,,,,,
-22.493,98.0656,1124.60596,1075.39404,,,,,
-32.0406,97.4296,1124.51636,1075.48364,,,,,
552.1738,108.4194,1124.35742,1075.64258,,,,,
-99.6894,106.2858,1127.10486,1072.89514,,,,,
207.6744,110.3718,1126.57141,1073.42859,,,,,
-70.7108,109.0836,1127.5929,1072.4071,,,,,
-173.839,105.4914,1127.27087,1072.72913,,,,,
151.369,108.356,1126.3728,1073.6272,,,,,
-128.9642,105.6856,1127.08899,1072.91101,,,,,
-599.3554,93.7168,1126.42139,1073.57861,,,,,
-325.6278,87.3806,1123.4292,1076.5708,,,,,
40.4382,88.7204,1121.84509,1078.15491,,,,,
-165.3674,85.4796,1122.18005,1077.81995,,,,,
-92.574,83.8522,1121.36987,1078.63013,,,,,
176.1522,87.769,1120.96301,1079.03699,,,,,
-65.3908,86.5798,1121.94226,1078.05774,,,,,
-205.665,82.5684,1121.64502,1078.35498,,,,,
-206.448,78.6214,1120.64209,1079.35791,,,,,
797.7238,94.8164,1119.6554,1080.3446,,,,,
-143.595,92.036,1123.7041,1076.2959,,,,,
-292.7838,86.1186,1123.00903,1076.99097,,,,,
-249.2918,81.765,1121.52966,1078.47034,,,,,
-310.2986,76.0858,1120.44128,1079.55872,,,,,
20.1248,76.6588,1119.02148,1080.97852,,,,,
531.0238,87.4742,1119.16467,1080.83533,,,,,
401.7324,95.2404,1121.86853,1078.13147,,,,,
-386.7874,87.2486,1123.81006,1076.18994,,,,,
-192.5462,83.417,1121.81213,1078.18787,,,,,
527.102,93.6754,1120.85425,1079.14575,,,,,
-86.8136,91.5546,1123.41882,1076.58118,,,,,
123.721,93.7854,1122.88867,1077.11133,,,,,
130.5104,95.9542,1123.44641,1076.55359,,,,,
135.995,98.372,1123.98853,1076.01147,,,,,
379.7066,105.4968,1124.59302,1075.40698,,,,,
318.0726,111.1424,1126.37415,1073.62585,,,,,
269.0344,116.0044,1127.78564,1072.21436,,,,,
107.0772,117.2906,1129.0011,1070.9989,,,,,
319.0004,122.61,1129.32263,1070.67737,,,,,
-66.4474,120.2684,1130.65247,1069.34753,,,,,
-265.9024,113.9536,1130.06714,1069.93286,,,,,
142.9566,115.9422,1128.4884,1071.5116,,,,,
-110.656,112.8118,1128.9856,1071.0144,,,,,
-172.9308,108.2932,1128.20288,1071.79712,,,,,
-45.6306,106.4502,1127.07336,1072.92664,,,,,
-78.786,104.2158,1126.61255,1073.38745,,,,,
329.0058,109.9168,1126.05396,1073.94604,,,,,
142.8414,111.9632,1127.47913,1072.52087,,,,,
126.0762,113.5598,1127.99084,1072.00916,,,,,
-2.3236,112.595,1128.38989,1071.61011,,,,,
-301.6358,105.818,1128.14868,1071.85132,,,,,
-141.2716,102.1748,1126.45447,1073.54553,,,,,
363.8366,108.8032,1125.5437,1074.4563,,,,,
-158.5678,104.992,1127.20081,1072.79919,,,,,
41.8456,105.2402,1126.24805,1073.75195,,,,,
90.065,106.5672,1126.31006,1073.68994,,,,,
72.654,107.4276,1126.64172,1073.35828,,,,,
-409.0282,98.676,1126.85693,1073.14307,,,,,
87.4254,100.1758,1124.66907,1075.33093,,,,,
-138.869,97.0546,1125.04395,1074.95605,,,,,
503.3716,106.7718,1124.26367,1075.73633,,,,,
-370.79,98.9258,1126.69287,1073.30713,,,,,
641.6768,111.3904,1124.73145,1075.26855,,,,,
-326.5774,104.5182,1127.84766,1072.15234,,,,,
249.8562,109.0494,1126.12952,1073.87048,,,,,
38.8184,109.485,1127.26233,1072.73767,,,,,
-110.8582,106.5938,1127.37122,1072.62878,,,,,
711.1858,120.102,1126.64844,1073.35156,,,,,
-521.8388,108.746,1130.02551,1069.97449,,,,,
104.7298,110.1158,1127.18652,1072.81348,,,,,
423.9832,117.7118,1127.52893,1072.47107,,,,,
177.3148,120.2798,1129.42798,1070.57202,,,,,
439.0514,127.992,1130.06995,1069.93005,,,,,
-425.0588,118.311,1131.99805,1068.00195,,,,,
118.5152,119.6142,1129.57776,1070.42224,,,,,
109.4362,120.7376,1129.90356,1070.09644,,,,,
372.6032,127.2206,1130.18445,1069.81555,,,,,
262.0074,131.27,1131.80518,1068.19482,,,,,
-360.3218,122.8982,1132.8175,1067.1825,,,,,
-103.5832,119.6928,1130.72461,1069.27539,,,,,
106.4244,120.7814,1129.92322,1070.07678,,,,,
-247.8444,114.8822,1130.19531,1069.80469,,,,,
-283.1516,108.3154,1128.72058,1071.27942,,,,,
300.4022,113.6162,1127.07886,1072.92114,,,,,
106.3028,114.902,1128.40405,1071.59595,,,,,
440.1194,122.9156,1128.72546,1071.27454,,,,,
-135.1058,119.2078,1130.72888,1069.27112,,,,,
-104.016,116.1576,1129.80188,1070.19812,,,,,
595.8654,127.2208,1129.03943,1070.96057,,,,,
-139.6138,123.4156,1131.80518,1068.19482,,,,,
766.842,137.7456,1130.85388,1069.14612,,,,,
-9.1148,136.3414,1134.4364,1065.5636,,,,,
1062.9238,156.3342,1134.08533,1065.91467,,,,,
613.3584,166.847,1139.0835,1060.9165,,,,,
2098.6158,206.9512,1141.71179,1058.28821,,,,,
95.536,206.107,1151.73779,1048.26221,,,,,
333.0632,209.943,1151.52673,1048.47327,,,,,
273.2736,212.5352,1152.48572,1047.51428,,,,,
-57.5738,208.3164,1153.13379,1046.86621,,,,,
7.5264,205.5982,1152.0791,1047.9209,,,,,
68.3656,204.02,1151.39954,1048.60046,,,,,
682.2488,214.6726,1151.005,1048.995,,,,,
-65.8176,210.2834,1153.66821,1046.33179,,,,,
320.0786,213.6168,1152.57092,1047.42908,,,,,
331.9182,217.1338,1153.40417,1046.59583,,,,,
551.3892,225.0376,1154.28345,1045.71655,,,,,
597.9894,233.694,1156.2594,1043.7406,,,,,
-103.116,227.6474,1158.42346,1041.57654,,,,,
460.3184,233.163,1156.91187,1043.08813,,,,,
-505.8354,219.1362,1158.29077,1041.70923,,,,,
931.9486,233.9036,1154.78406,1045.21594,,,,,
75.9612,231.5296,1158.47583,1041.52417,,,,,
79.8414,228.859,1157.88245,1042.11755,,,,,
566.4002,236.1462,1157.21472,1042.78528,,,,,
18.1342,231.9716,1159.03662,1040.96338,,,,,
311.2564,233.7916,1157.99292,1042.00708,,,,,
-258.6372,224.101,1158.44788,1041.55212,,,,,
924.13,238.12,1156.02527,1043.97473,,,,,
310.6236,239.582,1159.53003,1040.46997,,,,,
147.5804,237.2866,1159.89551,1040.10449,,,,,
35.973,232.9712,1159.32166,1040.67834,,,,,
-92.8696,225.7974,1158.2428,1041.7572,,,,,
448.064,229.763,1156.44934,1043.55066,,,,,
-254.0724,219.4096,1157.4408,1042.5592,,,,,
653.5204,227.29,1154.85242,1045.14758,,,,,
-318.0756,215.5174,1156.82251,1043.17749,,,,,
498.9422,220.0924,1153.87927,1046.12073,,,,,
-9.035,214.451,1155.02307,1044.97693,,,,,
70.0638,210.1364,1153.61279,1046.38721,,,,,
109.7518,206.8108,1152.53406,1047.46594,,,,,
-56.752,200.0154,1151.70264,1048.29736,,,,,
652.7492,207.609,1150.00391,1049.99609,,,,,
-419.7132,193.4424,1151.90222,1048.09778,,,,,
493.6076,197.7166,1148.3606,1051.6394,,,,,
83.5638,193.6632,1149.42908,1050.57092,,,,,
-11.3046,187.4772,1148.41577,1051.58423,,,,,
581.6094,193.2874,1146.86926,1053.13074,,,,,
361.4914,194.2458,1148.3219,1051.6781,,,,,
235.6442,192.8946,1148.56152,1051.43848,,,,,
319.4242,193.1576,1148.22363,1051.77637,,,,,
271.6352,192.3122,1148.28943,1051.71057,,,,,
-99.732,183.9912,1148.078,1051.922,,,,,
-135.0386,174.7802,1145.9978,1054.0022,,,,,
586.2578,180.1776,1143.69507,1056.30493,,,,,
-167.9924,169.9472,1145.04443,1054.95557,,,,,
422.3828,171.7988,1142.48682,1057.51318,,,,,
98.8404,166.9214,1142.94971,1057.05029,,,,,
-446.922,151.277,1141.73035,1058.26965,,,,,
-115.3628,142.1546,1137.81921,1062.18079,,,,,
278.3344,140.741,1135.5387,1064.4613,,,,,
-24.7064,133.8628,1135.1853,1064.8147,,,,,
491.2794,136.9514,1133.4657,1066.5343,,,,,
175.0144,133.5546,1134.23779,1065.76221,,,,,
899.5144,144.955,1133.38867,1066.61133,,,,,
-209.9232,133.8882,1136.23877,1063.76123,,,,,
452.014,136.4738,1133.47205,1066.52795,,,,,
57.9974,130.9282,1134.11853,1065.88147,,,,,
-218.1904,120.005,1132.73206,1067.26794,,,,,
