connected to i2c device 5
imu who am i is 113 
                    
calibration complete, -2.695923 -2.784371 2.228475 -1.994713 1.183828 0.000000
shared memory attached at address 0xb6f7e000
segment size: 25600
calibration complete, 4.137041 2.280841 -0.872952 -3.076362 3.127099 0.000000
   0.00000,  -1.72739
   0.00000,  -1.79338
   0.00000,  -1.66915
   0.00000,  -1.74399
   0.00000,  -1.92214
   0.00000,  -1.76692
   0.00000,  -1.75708
   0.00000,  -1.58246
   0.00000,  -1.74436
   0.00000,  -1.91425
   0.00000,  -1.69693
   0.00000,  -1.86631
   0.00000,  -1.84376
   0.00000,  -1.76024
   0.00000,  -1.76262
   0.00000,  -1.52879
   0.00000,  -1.58276
   0.00000,  -1.43247
   0.00000,  -1.13155
   0.00000,  -1.27695
   0.00000,  -1.38605
   0.00000,  -1.17872
   0.00000,  -1.22292
   0.00000,  -1.10107
   0.00000,  -1.09022
   0.00000,  -0.93276
   0.00000,  -0.75277
   0.00000,  -0.78503
   0.00000,  -0.91123
   0.00000,  -0.63496
   0.00000,  -0.74541
   0.00000,  -0.81408
   0.00000,  -0.60870
   0.00000,  -0.71585
   0.00000,  -0.67490
   0.00000,  -0.56088
   0.00000,  -0.51758
   0.00000,  -0.51039
   0.00000,  -0.40136
   0.00000,  -0.36353
   0.00000,  -0.31915
   0.00000,  -0.32005
   0.00000,  -0.31418
   0.00000,  -0.19931
   0.00000,  -0.18762
   0.00000,  -0.27447
   0.00000,  -0.10169
   0.00000,  -0.00922
   0.00000,  -0.03994
   0.00000,   0.01937
   0.00000,   0.17286
   0.00000,   0.00983
   0.00000,  -0.08195
   0.00000,   0.01962
   0.00000,  -0.01409
   0.00000,  -0.13226
   0.00000,  -0.03296
   0.00000,   0.03783
   0.00000,   0.03130
   0.00000,   0.00659
   0.00000,   0.01834
   0.00000,   0.02296
   0.00000,   0.17601
   0.00000,   0.13138
   0.00000,   0.13146
   0.00000,   0.20659
   0.00000,   0.17581
   0.00000,   0.11263
   0.00000,   0.20419
   0.00000,   0.27882
   0.00000,   0.12415
   0.00000,   0.15638
   0.00000,   0.20720
   0.00000,  -0.00885
   0.00000,  -0.06560
   0.00000,  -0.07232
   0.00000,  -0.13234
   0.00000,  -0.02627
   0.00000,  -0.12081
   0.00000,  -0.19415
   0.00000,  -0.03611
   0.00000,  -0.18545
   0.00000,  -0.38687
   0.00000,  -0.12560
   0.00000,   0.03276
   0.00000,  -0.09103
   0.00000,   0.05127
   0.00000,  -0.03348
   0.00000,   0.01871
   0.00000,   0.14356
   0.00000,   0.06222
   0.00000,   0.21020
   0.00000,   0.48248
   0.00000,   0.30811
   0.00000,   0.47534
   0.00000,   0.70686
   0.00000,   0.56724
   0.00000,   0.51420
   0.00000,   0.73870
   0.00000,   0.57883
   0.00000,   0.62357
   0.00000,   0.69773
   0.00000,   0.65396
   0.00000,   0.75318
   0.00000,   0.78767
   0.00000,   0.77871
   0.00000,   0.92282
   0.00000,   0.91548
   0.00000,   0.91826
   0.00000,   1.06635
   0.00000,   1.09414
   0.00000,   1.14622
   0.00000,   1.21677
   0.00000,   1.33821
   0.00000,   1.41611
   0.00000,   1.36948
   0.00000,   1.41610
   0.00000,   1.58591
   0.00000,   1.44525
   0.00000,   1.42187
   0.00000,   1.76169
   0.00000,   1.89963
   0.00000,   2.03238
   0.00000,   1.93092
   0.00000,   2.03331
   0.00000,   2.12154
   0.00000,   2.12394
   0.00000,   2.10526
   0.00000,   2.06685
   0.00000,   2.21665
   0.00000,   2.20963
   0.00000,   2.09311
   0.00000,   2.18672
   0.00000,   2.46058
   0.00000,   2.31489
   0.00000,   2.43588
   0.00000,   2.51714
   0.00000,   2.52420
   0.00000,   2.53991
   0.00000,   2.55313
   0.00000,   2.69315
   0.00000,   2.74071
   0.00000,   2.69093
   0.00000,   2.78253
   0.00000,   3.01696
   0.00000,   2.90989
   0.00000,   2.80624
   0.00000,   2.85950
   0.00000,   2.96680
   0.00000,   2.79486
   0.00000,   2.68066
   0.00000,   2.92062
   0.00000,   2.78684
   0.00000,   2.53631
   0.00000,   2.69654
   0.00000,   2.86897
   0.00000,   2.61573
   0.00000,   2.44882
   0.00000,   2.64217
   0.00000,   2.45124
   0.00000,   2.33734
   0.00000,   2.39297
   0.00000,   2.56302
   0.00000,   2.50846
   0.00000,   2.50934
   0.00000,   2.65173
   0.00000,   2.59740
   0.00000,   2.40444
   0.00000,   2.46194
   0.00000,   2.56308
   0.00000,   2.38201
   0.00000,   2.37007
   0.00000,   2.43507
   0.00000,   2.25581
   0.00000,   2.29538
   0.00000,   2.41778
   0.00000,   2.34883
   0.00000,   2.35777
   0.00000,   2.52153
   0.00000,   2.42716
   0.00000,   2.38686
   0.00000,   2.53922
   0.00000,   2.53895
   0.00000,   2.33475
   0.00000,   2.42873
   0.00000,   2.49552
   0.00000,   2.39842
   0.00000,   2.43001
   0.00000,   2.45807
   0.00000,   2.44291
   0.00000,   2.42684
   0.00000,   2.50327
   0.00000,   2.47556
   0.00000,   2.41475
   0.00000,   2.49026
   0.00000,   2.57749
   0.00000,   2.33332
   0.00000,   2.38046
   0.00000,   2.59010
   0.00000,   2.30804
   0.00000,   2.29533
   0.00000,   2.46807
   0.00000,   2.44360
   0.00000,   2.46901
   0.00000,   2.56857
   0.00000,   2.73008
   0.00000,   2.86358
   0.00000,   2.95176
   0.00000,   2.99062
   0.00000,   3.01469
   0.00000,   3.07242
   0.00000,   3.07457
   0.00000,   3.09703
   0.00000,   3.20410
   0.00000,   3.17438
   0.00000,   3.10898
   0.00000,   3.41956
   0.00000,   3.53880
   0.00000,   3.31734
   0.00000,   3.34652
   0.00000,   3.47500
   0.00000,   3.47694
   0.00000,   3.45866
   0.00000,   3.43508
   0.00000,   3.48969
   0.00000,   3.35872
   0.00000,   3.39262
   0.00000,   3.49315
   0.00000,   3.51703
   0.00000,   3.44459
   0.00000,   3.44563
   0.00000,   3.44880
   0.00000,   3.39841
   0.00000,   3.45580
   0.00000,   3.41111
   0.00000,   3.47306
   0.00000,   3.58888
   0.00000,   3.43220
   0.00000,   3.52227
   0.00000,   3.55974
   0.00000,   3.46274
   0.00000,   3.54370
   0.00000,   3.45665
   0.00000,   3.41244
   0.00000,   3.44805
   0.00000,   3.42099
   0.00000,   3.38168
   0.00000,   3.37268
   0.00000,   3.28716
   0.00000,   3.31163
   0.00000,   3.26660
   0.00000,   3.16135
   0.00000,   3.12856
   0.00000,   3.10389
   0.00000,   3.03603
   0.00000,   3.04392
   0.00000,   3.00051
   0.00000,   2.89639
   0.00000,   2.82243
   0.00000,   2.73745
   0.00000,   2.64869
   0.00000,   2.63127
   0.00000,   2.64984
   0.00000,   2.55635
   0.00000,   2.52591
   0.00000,   2.55386
   0.00000,   2.44349
   0.00000,   2.43264
   0.00000,   2.42441
   0.00000,   2.34744
   0.00000,   2.33490
   0.00000,   2.38539
   0.00000,   2.32017
   0.00000,   2.10459
   0.00000,   2.16779
   0.00000,   2.01768
   0.00000,   1.93601
   0.00000,   1.94680
   0.00000,   1.75582
   0.00000,   1.72502
   0.00000,   1.78077
   0.00000,   1.80569
   0.00000,   1.70997
   0.00000,   1.77645
   0.00000,   1.80901
   0.00000,   1.73306
   0.00000,   1.86166
   0.00000,   1.96197
   0.00000,   1.94076
   0.00000,   1.78782
   0.00000,   1.91837
   0.00000,   2.09702
   0.00000,   1.91383
   0.00000,   1.74401
   0.00000,   1.93884
   0.00000,   1.85972
   0.00000,   1.61431
   0.00000,   1.78799
   0.00000,   1.67239
   0.00000,   1.45313
   0.00000,   1.63626
   0.00000,   1.85833
   0.00000,   1.66605
   0.00000,   1.81994
   0.00000,   2.01777
   0.00000,   1.86627
   0.00000,   1.78910
   0.00000,   1.88629
   0.00000,   1.77637
   0.00000,   1.73339
   0.00000,   1.70052
   0.00000,   1.75522
   0.00000,   1.75044
   0.00000,   1.65406
   0.00000,   1.75709
   0.00000,   1.79773
   0.00000,   1.54363
   0.00000,   1.39056
   0.00000,   1.42731
   0.00000,   1.51120
   0.00000,   1.20233
   0.00000,   1.13230
   0.00000,   1.31342
   0.00000,   0.97707
   0.00000,   0.88738
   0.00000,   0.98469
   0.00000,   0.88630
   0.00000,   0.86650
   0.00000,   0.94936
   0.00000,   0.84031
   0.00000,   0.78030
   0.00000,   0.95312
   0.00000,   0.83549
   0.00000,   0.75123
   0.00000,   0.87051
   0.00000,   0.82963
   0.00000,   0.63345
   0.00000,   0.82051
   0.00000,   1.08467
   0.00000,   0.85305
   0.00000,   1.09586
   0.00000,   1.23868
   0.00000,   1.10165
   0.00000,   1.31458
   0.00000,   1.38372
   0.00000,   1.30626
   0.00000,   1.29103
   0.00000,   1.34753
   0.00000,   1.17963
   0.00000,   1.13226
   0.00000,   1.28669
   0.00000,   1.06883
   0.00000,   1.00917
   0.00000,   1.10093
   0.00000,   1.17997
   0.00000,   1.05051
   0.00000,   1.11095
   0.00000,   1.17731
   0.00000,   1.01738
   0.00000,   1.13365
   0.00000,   1.20748
   0.00000,   1.05210
   0.00000,   0.78121
   0.00000,   0.92517
   0.00000,   0.85248
   0.00000,   0.72603
   0.00000,   0.72469
   0.00000,   0.71970
   0.00000,   0.74244
   0.00000,   0.68149
   0.00000,   0.67725
   0.00000,   0.71943
   0.00000,   0.68342
   0.00000,   0.57688
   0.00000,   0.54499
   0.00000,   0.66469
   0.00000,   0.60851
   0.00000,   0.62365
   0.00000,   0.64234
   0.00000,   0.74624
   0.00000,   0.79774
   0.00000,   0.74741
   0.00000,   0.82559
   0.00000,   0.88989
   0.00000,   0.89428
   0.00000,   0.93522
   0.00000,   0.85971
   0.00000,   0.87905
   0.00000,   0.88898
   0.00000,   0.83965
   0.00000,   0.80734
   0.00000,   0.78979
